iso,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
554,6.302155397525685,6.621511492010766,6.642962186147702,6.340227243552351,6.887721714667299,7.20068023370803,6.622849547005663,6.020682985083614,5.897958253520444,6.614277632194606,6.553876993440603,6.56129901724042,5.73979597170181,4.952643306735309,4.312174920584345,2.9265353449317613,1.9368346051127916,1.1303010498295862,0.5715376468044947,0.15013395184925474,0.013840506353461445
512,9.047491935665425,7.4253184728739265,5.924190430858984,4.413333729983887,7.505037194029658,15.04283825984042,16.47329282137539,10.934429643303949,7.6195901420545,5.399888080222039,3.465392507163831,2.5945569359709526,1.708826868465316,0.9880417898159435,0.5500712362954553,0.49141787564683526,0.2397189784425784,0.10836198329565153,0.04862319376593972,0.015638216101654032,0.003939704827666054
586,12.775852284786673,11.593017916160601,10.685502794521803,10.054090055426558,9.49533391812688,8.687390141977351,7.537313557923035,6.243191748011986,5.183578864569529,4.322156996173122,3.7067652896608556,3.076453834941631,2.31694348361423,1.6080677405976322,1.2282442252745391,0.83339244944748,0.4306123496219849,0.16950174898042425,0.04462856811000812,0.007582931665830869,0.00037910040784600794
591,9.162239428792118,8.994969904202108,8.621975113271352,8.351842955510968,8.119836851574496,7.656130782490746,7.377308992944679,7.012674145872778,6.696362129218827,6.185063252983676,5.375750040033534,4.518514332005162,3.6134738745867123,2.7721573835966127,2.0702517873795463,1.49586477143207,0.9919132261376588,0.5779900340049547,0.27820951196767174,0.10352200902402954,0.02394947297029983
604,8.643602173355765,8.242359028918138,8.368475354179832,7.7029019150819815,8.207493329378094,8.475653160511838,8.059448678397741,7.530600457169756,6.815024652679498,6.077883482554016,5.308232777497903,4.488899604072068,3.685847343541288,2.9943284103437224,2.118822550107101,1.5415806763988773,1.01264940498231,0.5116137691306879,0.17124333699102767,0.039322726327297344,0.004017168381058381
608,9.966524851285124,10.509131519110909,10.00022827202278,9.631228582039865,9.291970849773683,8.602084330751659,7.44064867287474,6.590448229135387,5.946348379252915,5.233340531116483,4.628720272078053,3.8183185190525095,3.02601389081505,2.1908351890609383,1.446561103250155,0.8615529996858393,0.518098872900413,0.2116251837760895,0.06964331534516496,0.015178979602229897,0.0014974570700146364
598,12.483935097051441,11.800329963620594,11.201682657220122,10.362279727519647,9.299714372605932,7.967154957675484,7.141630600040861,6.534425980322281,5.659472028581199,4.717711781255473,3.8443644622412254,3.0905916385135614,2.387228340910145,1.6830218459890984,0.9704631398001783,0.5215061463956904,0.23494439854336524,0.07891871110681156,0.018949150529978,0.0016408164018742225,3.41836750390463e-05
616,4.958882510108143,5.104243400970815,5.122288801900983,4.600125581421128,5.44113839373497,6.738142677703121,7.6854219712587994,8.411608812025621,7.63819037119366,6.607575478841852,5.8854057655016385,6.395813213604285,7.294353824466312,6.312562074780331,4.570767822967675,2.651098230378827,2.360006936275215,1.4426343909921329,0.6124773244770014,0.15552776001332355,0.011734657384163807
630,3.2086613367950685,5.831995865554148,7.219121539344734,6.342699471330918,5.400960795035392,5.553411667809821,5.815768983747209,6.340858606588114,6.891720335828273,7.052693730560128,7.224439593046167,6.881356949128044,6.537456143102006,5.55013901937817,5.233339833176746,3.751886886361374,2.545915939297826,1.543292366138452,0.7371981493173119,0.283288629864826,0.0537941585952702
408,6.7928167041135135,6.515151450215161,6.685332751607496,7.415348546336718,7.6242150314906905,7.688100715662263,7.1740268712608595,6.787073732931657,6.3573093548831645,8.698341555379717,7.950539693184297,5.680121881900746,5.373546963029955,2.453370794856433,3.0123247512278524,2.134581347725723,1.1524514558217656,0.38523881857342335,0.10167085006142523,0.01750943859651447,0.0009272911406253768
620,3.97295059796534,4.403629586733186,4.874968927785141,5.187656620097949,5.283860695559964,5.243366583292409,5.628456692226559,6.630668857905661,7.655841703518167,7.864248011329355,7.235596720495184,7.16262713205266,6.4982342376594655,6.0411622015576105,5.434444814084011,4.320225992545797,3.399266079663389,2.1309916569025105,0.8049146025034963,0.2087974607913142,0.0180908253308323
600,9.907548136959182,9.696948275135178,9.574883823003564,9.415060161351064,9.627888668248294,9.05712840643786,8.30912698294405,7.060021102571758,5.527806321942117,4.4555157475067215,4.091125180438628,3.5903897985404223,3.065749714073354,2.4855070643080506,1.7214934647467386,1.1734455094150318,0.7296896263953341,0.33226684859224154,0.13993619829206294,0.03428138759133009,0.004187581507015477
275,13.857850228308303,13.226444175980273,11.565372297307878,10.286861863941661,9.996201887734065,9.079877191693456,7.0734220068084985,5.6981520537709915,4.788311450023707,3.895915664242058,3.230563481672502,2.469676329369405,1.6579603173551647,1.2442431096983955,0.9348334672308429,0.5632728967752582,0.2965016816483325,0.10384584963891835,0.02579584704929637,0.0046773792704171615,0.00022082048057763424
258,7.115337792354735,7.275389925667063,8.173400552842267,7.654215780352616,7.591913607653858,6.976411108405781,8.19631629452457,7.254264476303692,6.859325990747769,7.411810200369516,6.666332478767132,5.757222039214563,4.389796766015955,3.484266911101245,2.0104982741582047,1.7165322753899255,0.8289053436645136,0.488391744604059,0.11636900073043928,0.030434969421807196,0.0028644677102877356
634,4.7700075315908395,4.7141473501194,4.107276971516604,4.027582641819361,8.937946824073267,16.478400435582298,16.75805444143173,12.17158750610419,9.072018321574566,7.274146728666054,5.210074182462233,3.221176305255059,1.7346316529493786,0.8786502880754049,0.38819648236220067,0.11599285469891116,0.07987087894335983,0.03506268027884894,0.017089967024131812,0.004978688740501209,0.003107266731660329
638,7.395624632283046,7.621963909459789,7.735471032059856,7.9301993068078405,7.059378061964315,6.054575664477895,5.512013868342987,5.759502143585948,6.528065732885905,6.860824968417122,7.36457610320711,6.566426415548563,5.4093062341171585,4.37716763168345,2.953660070354167,2.1291866297834137,1.4371194164676449,0.805461841245271,0.34738354270466437,0.13904341281831772,0.01304938178553791
642,4.855318670325447,5.15851175121064,5.5601372362849695,5.124759367087026,5.298540767106587,5.933220887355136,7.199890645580447,6.3358740230476736,8.039011269970633,7.8461950951836865,7.531279567548095,5.4239554551154745,6.903266266134243,6.314794275190789,4.534004855674991,3.123882300850864,2.8194756627029647,1.3911755693055323,0.49770307176647155,0.1031936799177136,0.0058095826406159125
