Country,Development,Demography,Health Care,Urbanisation
Afghanistan,0.19624900000000006,524.8361234124761,60.84000000000001,2685.0014889999993
Albania,0.021904000000000038,40.10654791898754,29.160000000000004,288.76204900000005
Algeria,0.03240000000000002,205.3852136123658,40.96000000000001,21.930489000000065
American Samoa,,,,96.84528099999989
Andorra,0.006724000000000012,,33.64000000000001,115.5625000000003
Angola,0.13322500000000007,601.1056444372082,,139.19280400000005
Antigua and Barbuda,0.026569000000000047,79.38017564547445,20.250000000000007,2778.6603689999993
Argentina,0.011881000000000022,107.15700234276977,10.890000000000004,211.9353640000002
Armenia,0.032041000000000014,59.738775005652265,16.810000000000006,200.5905690000001
Aruba,,29.491386068396586,,1149.2778009999997
Australia,1.0000000000002238e-06,31.878319117423743,20.250000000000007,75.69000000000005
Austria,0.0006250000000000011,4.173493286790523,0.4900000000000015,361.570225
Azerbaijan,0.03422500000000002,113.11895868712921,12.960000000000004,467.94342399999994
Bahamas,0.017956000000000003,104.61847808760385,29.160000000000004,32.63836900000009
Bahrain,0.010201000000000017,316.05685282537235,39.69000000000001,143.40062500000022
Bangladesh,0.10562500000000004,208.33581098397457,56.250000000000014,1654.8624
Barbados,0.01587600000000003,19.57377822260375,6.250000000000004,2131.207225
Belarus,0.014884,24.5524405728287,7.2899999999999965,1.6460890000000032
Belgium,0.0004000000000000007,10.576599172803755,4.410000000000002,428.0347210000003
Belize,0.04796100000000004,253.65939112771332,49.000000000000014,997.8017440000001
Benin,0.17556100000000002,484.8530565827887,60.84000000000001,900.0
Bermuda,,,,514.7453440000002
Bhutan,0.10368400000000004,218.7982923206976,43.56000000000001,1326.1978889999996
Bolivia,0.055696000000000044,234.1127240983035,51.84000000000002,62.204769000000006
Bosnia and Herzegovina,0.028900000000000012,12.471141572827984,23.040000000000006,844.890489
Botswana,0.04452100000000003,304.94602861165384,42.250000000000014,61.87395599999999
Brazil,0.03168400000000006,91.38461526562388,37.21000000000001,85.6920490000001
British Virgin Islands,,,,875.5089209999999
Brunei Darussalam,0.008836000000000016,136.53206738048303,31.360000000000007,0.10048899999999561
Bulgaria,0.015129000000000026,15.109411897344659,2.2500000000000027,5.308416000000009
Burkina Faso,0.2550250000000001,557.1854751678928,62.410000000000004,2299.5861159999995
Burundi,0.266256,582.6425375723514,56.250000000000014,4131.9184000000005
Cabo Verde,0.08294400000000009,225.72978461034842,38.44000000000001,134.09639999999996
Cambodia,0.12816400000000006,265.729074767464,56.250000000000014,2907.797775999999
Cameroon,0.14137600000000008,500.18768824957186,49.000000000000014,438.3998440000001
Canada,0.0002890000000000005,13.493724865766097,31.360000000000007,16.80180100000003
Caribbean small states,,,36.39426651895527,681.8698853783111
Cayman Islands,,,,514.7453440000002
Central African Republic,0.3113640000000001,553.9808938397858,53.29000000000001,1292.258704
Chad,0.28944400000000003,625.4880830467758,,2943.388009
Channel Islands,,,,2152.774404
Chile,0.008464000000000015,57.51679851712688,37.21000000000001,105.1035039999999
China,0.03276100000000002,44.601636224457735,16.810000000000006,329.7855999999999
Colombia,0.03168400000000006,114.67662585615629,46.24000000000001,12.013156000000057
Comoros,0.1608010000000001,419.3656222743176,37.21000000000001,2337.4324089999996
Congo,0.23040000000000008,452.7551438117996,,1079.2539039999997
Congo,0.23040000000000008,452.7551438117996,,108.07681600000002
Congo,0.23040000000000008,572.8242248444443,,1079.2539039999997
Congo,0.23040000000000008,572.8242248444443,,108.07681600000002
Congo,0.10890000000000005,452.7551438117996,,1079.2539039999997
Congo,0.10890000000000005,452.7551438117996,,108.07681600000002
Congo,0.10890000000000005,572.8242248444443,,1079.2539039999997
Congo,0.10890000000000005,572.8242248444443,,108.07681600000002
Congo,0.23040000000000008,452.7551438117996,,1079.2539039999997
Congo,0.23040000000000008,452.7551438117996,,108.07681600000002
Congo,0.23040000000000008,572.8242248444443,,1079.2539039999997
Congo,0.23040000000000008,572.8242248444443,,108.07681600000002
Congo,0.10890000000000005,452.7551438117996,,1079.2539039999997
Congo,0.10890000000000005,452.7551438117996,,108.07681600000002
Congo,0.10890000000000005,572.8242248444443,,1079.2539039999997
Congo,0.10890000000000005,572.8242248444443,,108.07681600000002
Costa Rica,0.021025000000000005,83.19433184468359,50.41000000000001,4.1127840000000235
Cote d'Ivoire,,,,704.0000890000001
Croatia,0.010403999999999997,5.989707896230385,7.290000000000005,414.73322500000006
Cuba,0.02592100000000001,20.20252064629324,9.610000000000003,0.07562500000000312
Curacao,,,,140.01988899999995
Curaçao,,19.56391190612409,,
Cyprus,0.0043560000000000074,43.52838651169039,24.010000000000005,110.2920039999999
Czech Republic,0.002304000000000015,26.485615528683493,3.2400000000000024,12.390399999999971
Côte d'Ivoire,0.17892900000000003,490.16031918421385,,
Denmark,8.100000000000014e-05,15.547304875747146,33.64000000000001,111.55584399999995
Djibouti,0.19713600000000006,239.06923080178154,47.61000000000001,0.21622500000000316
Dominica,0.04622499999999999,,20.250000000000007,46.63524099999991
Dominican Republic,0.037636000000000024,174.47496844232353,44.890000000000015,14.152644000000004
Ecuador,0.03276100000000002,178.50286578349025,46.24000000000001,182.0070809999998
Egypt,0.05712100000000005,273.69289892968663,44.890000000000015,1197.7136640000003
El Salvador,0.07398400000000001,179.53374386030575,49.000000000000014,27.973521000000016
Equatorial Guinea,0.12320100000000006,434.2815173212187,38.44000000000001,26.71856099999997
Eritrea,0.2550250000000001,454.4085097923538,57.760000000000005,1725.6546809999998
Estonia,0.003249000000000006,14.921846646133757,10.890000000000004,71.09862400000003
