iso,Development,Health Care,Population Spread,Mortality
140,0.0,0.06766917293233082,0.3257749977003035,0.02120213965392095
108,0.0732984293193717,0.052631578947368425,0.0,0.010917993242759038
466,0.08027923211169301,0.0,0.3371814920430503,0.01110222513644186
854,0.09249563699825478,0.02255639097744361,0.18772422040290682,0.00940359617942479
232,0.09249563699825478,0.045112781954887216,0.2614639867537485,0.06498320239291427
508,0.11343804537521814,0.045112781954887216,0.26395915739122433,0.021488727355568275
624,0.13961605584642234,0.06766917293233082,0.34872596817220125,0.01770195544138447
887,0.1431064572425828,0.045112781954887216,0.2714791647502529,0.02402759801749427
430,0.14659685863874347,0.052631578947368425,0.4383106429951246,0.033734159335301175
270,0.14834205933682376,0.07518796992481203,0.5546637843804617,0.011996593185295579
324,0.14834205933682376,0.015037593984962403,0.26570692668567747,0.020923663881116765
231,0.15532286212914478,0.015037593984962403,0.08889476589090242,0.04301185812690368
454,0.181500872600349,0.09022556390977443,0.04490157299236502,0.016161940189242573
262,0.1989528795811518,0.09774436090225562,0.7444692300616319,0.07252234139039784
004,0.20069808027923208,0.03007518796992481,0.14330558366295648,0.01463501506097505
332,0.21291448516579403,0.045112781954887216,0.48576487903596716,0.09271813381116163
729,0.22164048865619543,0.052631578947368425,0.2484822003495538,0.04589990629684728
768,0.23036649214659685,0.045112781954887216,0.3296614846840217,0.019382384366933576
204,0.2425828970331588,0.03007518796992481,0.3941679698279827,0.036221099545660385
450,0.2443280977312391,0.007518796992481203,0.2777918314782449,0.03237922853500037
834,0.25654450261780104,0.045112781954887216,0.2385245147640511,0.01477233775124571
800,0.25654450261780104,0.03007518796992481,0.12351669579615492,0.0
174,0.27399650959860367,0.15789473684210525,0.18320531689816943,0.030826665174928984
760,0.2931937172774868,0.10526315789473684,0.4729325729003771,0.08667475905353281
090,0.3071553228621292,0.09774436090225562,0.1232292337411462,0.05169390035215501
586,0.31239092495637005,0.03759398496240601,0.2717551283230613,0.06809780833039714
716,0.3176265270506107,0.12030075187969923,0.22050639315610343,0.030173098926901575
120,0.3176265270506107,0.09022556390977443,0.4983672155275503,0.017436289670577365
524,0.34554973821989515,0.015037593984962403,0.07713181859994478,0.09797880228880783
404,0.34554973821989515,0.09774436090225562,0.16095575384049307,0.012662226392989596
116,0.34904013961605573,0.052631578947368425,0.11907828166682,0.07137630191521367
104,0.3542757417102966,0.06015037593984962,0.20176386716953362,0.10624306158935092
226,0.3612565445026177,0.15037593984962405,0.6796867813448625,0.012088915986240815
894,0.3664921465968585,0.14285714285714285,0.35057722380645756,0.005118853782016772
288,0.37521815008725995,0.06015037593984962,0.49475669211664064,0.02892464231953707
748,0.3961605584642233,0.15037593984962405,0.12380415785116364,0.05477632297230559
678,0.3979057591623036,0.21052631578947367,0.6872757795970932,0.034948356387454846
050,0.406631762652705,0.052631578947368425,0.27136417992824946,0.1121556217063745
583,0.406631762652705,0.23308270676691728,0.11120182135958065,0.049479755110256825
064,0.41186736474694585,0.12030075187969923,0.3203822095483396,0.13973309575723053
340,0.42233856893542754,0.045112781954887216,0.5066691196762028,0.10661085546512698
296,0.42233856893542754,0.13533834586466165,0.4717252322693403,0.05855970464258319
626,0.4275741710296684,0.4360902255639098,0.20175236868733337,0.05945172549630214
516,0.4607329842931937,0.19548872180451127,0.42544384141293345,0.05257011362770648
356,0.46422338568935423,0.045112781954887216,0.24144512924293993,0.12151433207723748
320,0.47120418848167517,0.03759398496240601,0.4371952902216906,0.10532388932616892
132,0.47120418848167517,0.15037593984962405,0.6059700119584215,0.11485552644567867
558,0.47120418848167517,0.06015037593984962,0.5230659552939011,0.12326227261929015
762,0.4799301919720766,0.3533834586466165,0.1621515959893294,0.04002400409991162
222,0.49912739965095987,0.09022556390977443,0.6783069634808205,0.21348199878185614
328,0.5043630017452007,0.11278195488721804,0.1560803973875448,0.1477772739535074
417,0.5113438045375218,0.3308270676691729,0.26813310642995125,0.08850380192060864
504,0.5148342059336822,0.07518796992481203,0.5682664888234753,0.14715122507314524
368,0.537521815008726,0.09774436090225562,0.6604843160702787,0.04096393624909384
704,0.5445026178010469,0.18796992481203006,0.26316576211940035,0.2261350279227054
818,0.556719022687609,0.11278195488721804,0.3411829638487719,0.09037773700390908
266,0.5602094240837697,0.46616541353383456,0.8777711342102843,0.04545914937215234
068,0.5619546247818498,0.07518796992481203,0.6484339067243123,0.18839793670602745
360,0.568935427574171,0.08270676691729321,0.48630530769938374,0.11365402119715094
434,0.5706806282722512,0.2706766917293233,0.7712032011774447,0.08153431598732111
860,0.5741710296684117,0.2932330827067669,0.43057216447428937,0.08825644237052871
795,0.5741710296684117,0.5488721804511278,0.4433929721276792,0.08614684567398831
498,0.575916230366492,0.42857142857142855,0.3403205776837457,0.29741807409031296
608,0.5776614310645725,0.06766917293233082,0.38951108453684113,0.09507654262880806
776,0.5863874345549739,0.18796992481203006,0.11612317174133015,0.12209535914687389
462,0.5898778359511344,0.3157894736842105,0.30788335939655964,0.07146852133342611
084,0.5916230366492146,0.09022556390977443,0.37590838009382754,0.10981138081369432
400,0.5968586387434553,0.09774436090225562,0.8962721920706467,0.059897526755944966
242,0.5986038394415358,0.16541353383458643,0.4969184067703064,0.08922504434602775
740,0.5986038394415358,0.22556390977443608,0.6097415141201362,0.15987273718598424
600,0.5986038394415358,0.09022556390977443,0.5582858062735718,0.14215704058712444
388,0.6020942408376962,0.12030075187969923,0.4903182779873056,0.2395847891410183
862,0.6020942408376962,0.052631578947368425,0.864409897893478,0.17786220882724063
072,0.6055846422338568,0.12781954887218044,0.6486753748505197,0.0609560532432302
422,0.6090750436300173,0.21052631578947367,0.8688368135406124,0.16871976931767171
496,0.6178010471204187,0.518796992481203,0.6371653941679698,0.07310246720873746
788,0.6247818499127401,0.16541353383458643,0.6429146352681445,0.20716706035389268
214,0.6352530541012216,0.11278195488721804,0.7823797258761843,0.18739544029586436
804,0.643979057591623,0.6541353383458647,0.6475945175236869,0.4533976275833055
031,0.650959860383944,0.3458646616541354,0.4903872688805077,0.14653279801719224
218,0.6579406631762652,0.10526315789473684,0.5839964124735536,0.18419973112572358
012,0.6596858638743455,0.13533834586466165,0.6852750436942321,0.1455763857052896
604,0.6596858638743455,0.11278195488721804,0.7459640327476773,0.20458998058468586
807,0.6596858638743455,0.32330827067669177,0.5166383037439057,0.32984285437985
051,0.6614310645724257,0.30827067669172936,0.5762694324349185,0.31465496787720376
170,0.6631762652705059,0.10526315789473684,0.7789761751448809,0.22119097968038678
076,0.6631762652705059,0.15789473684210525,0.8455638855671052,0.2327021814455553
308,0.6666666666666666,0.2706766917293233,0.2672247263361236,0.25658784193961115
764,0.6701570680628272,0.15037593984962405,0.42448946739030446,0.3359807588340618
484,0.6736474694589877,0.10526315789473684,0.7718241192162635,0.18909420013172495
070,0.6771378708551483,0.2556390977443609,0.40489605372090876,0.42405740436711775
028,0.68935427574171,0.2781954887218045,0.1330029436114433,0.22389447703976834
192,0.6928446771378708,0.3834586466165414,0.7359603532333729,0.4606410847401441
144,0.6963350785340314,0.2631578947368421,0.06259773709870296,0.24165025184976544
268,0.7068062827225129,0.18796992481203006,0.5243307883359396,0.4054828430638575
008,0.7155322862129143,0.21052631578947367,0.5437287278079292,0.3592456402566275
188,0.7207678883071553,0.08270676691729321,0.7624413577407783,0.264241682440923
591,0.7225130890052356,0.16541353383458643,0.6287025112685126,0.23149757123560627
480,0.7242582897033156,0.24812030075187969,0.31920936436390396,0.2860844958513854
364,0.7260034904013961,0.10526315789473684,0.7113650998068255,0.13286880760629743
780,0.7294938917975567,0.21804511278195488,0.4616870573084353,0.2617849950899867
688,0.7294938917975567,0.4210526315789474,0.49512464354705177,0.4839156809822192
690,0.732984293193717,0.2631578947368421,0.5020122343850613,0.21210020085214598
458,0.7382198952879581,0.13533834586466165,0.7244503725508233,0.13918026140114154
044,0.7399650959860384,0.21052631578947367,0.8048132646490664,0.16393376524901243
792,0.743455497382199,0.19548872180451127,0.7141822279459111,0.20799539564661698
414,0.745200698080279,0.14285714285714285,1.0,0.03445268788965929
858,0.745200698080279,0.20300751879699244,0.946348082053169,0.5184093121894506
052,0.7539267015706804,0.42857142857142855,0.20829500505933216,0.5318445173113834
642,0.7591623036649213,0.46616541353383456,0.4710468218195199,0.5403851463583987
100,0.7591623036649213,0.5037593984962406,0.7126299328488639,0.5848548861086633
499,0.7591623036649213,0.2932330827067669,0.6183998712169994,0.40188615209104306
398,0.7609075043630018,0.4962406015037594,0.5104866157667188,0.16624546647516053
112,0.7609075043630018,0.8195488721804511,0.7538749885015178,0.4457074522227752
643,0.7731239092495638,0.6090225563909774,0.7060183055836631,0.416844727426676
032,0.7835951134380452,0.3684210526315789,0.9065173397111582,0.3136524212969237
512,0.7905759162303665,0.11278195488721804,0.8222219667003956,0.032981548508409314
191,0.7958115183246074,0.41353383458646614,0.5049558458283505,0.6384097202804138
048,0.7975567190226874,0.14285714285714285,0.8768167601876553,0.031471323529748275
096,0.8097731239092494,0.19548872180451127,0.7427674546959798,0.0985544287486912
348,0.8097731239092494,0.518796992481203,0.6705799834421856,0.5541959127907206
152,0.81326352530541,0.15789473684210525,0.8570048753564529,0.34086019663401534
634,0.8150087260034903,0.08270676691729321,0.9900538128966977,0.004639244664640949
620,0.8184991273996508,0.24812030075187969,0.5999793027320394,0.7482669502298034
428,0.8254799301919722,0.42857142857142855,0.6336813540612639,0.7010697868415314
682,0.8307155322862128,0.19548872180451127,0.8142305215711525,0.054430537207004505
703,0.8307155322862128,0.42857142857142855,0.46791923466102475,0.42964020418969107
784,0.8464223385689353,0.08270676691729321,0.8450234569036887,0.0007792526926715384
440,0.8516579406631763,0.5413533834586466,0.6283575568025022,0.7110412131104377
300,0.856893542757417,0.3157894736842105,0.7591987857602798,0.7958452294892446
616,0.856893542757417,0.48120300751879697,0.540727623953638,0.5428838880596834
196,0.8586387434554973,0.24812030075187969,0.6183653757703983,0.3849531014880434
233,0.8743455497382198,0.3684210526315789,0.6421672339251219,0.6508680819446875
380,0.8760907504363,0.24812030075187969,0.6600818691932665,0.8150441155669199
470,0.8795811518324607,0.3458646616541354,0.9380461779045167,0.5866351500093651
203,0.8900523560209421,0.48120300751879697,0.6986477784932389,0.5485248170953815
250,0.8900523560209421,0.48120300751879697,0.7751356820899642,0.7152303615858185
724,0.8935427574171029,0.21804511278195488,0.7737213687793211,0.7294529598797821
705,0.9092495636998255,0.3383458646616541,0.47729049765430964,0.6412595279262493
376,0.9162303664921463,0.22556390977443608,0.9128185079569496,0.3591026284381515
442,0.9214659685863874,0.3533834586466165,0.8962951890350475,0.4661411114395813
040,0.9301919720767888,0.5639097744360902,0.5204787967988226,0.6305671011719534
392,0.9319371727748691,1.0,0.9035967252322693,1.0
056,0.9389179755671901,0.4586466165413534,0.9770145340815013,0.649878277497224
826,0.9406631762652704,0.20300751879699244,0.8091021985097967,0.5984311914490064
554,0.9424083769633506,0.20300751879699244,0.8452074326188943,0.47207572406474746
124,0.944153577661431,0.19548872180451127,0.7862547143777021,0.5453721714868188
246,0.9493891797556718,0.32330827067669177,0.8319151871952903,0.6723283295710909
208,0.9581151832460733,0.18045112781954886,0.8605694048385613,0.5785936306344358
702,0.9668411867364747,0.17293233082706766,1.0,0.3095210827544668
752,0.9703315881326352,0.18796992481203006,0.8554755772238064,0.6382563912466134
352,0.9720767888307154,0.23308270676691728,0.9288588906264372,0.4642911072713776
036,0.9720767888307154,0.2781954887218045,0.8391592309815105,0.4947883258535989
276,0.9738219895287958,0.6165413533834587,0.7391224358384693,0.7380178948898801
372,0.9790575916230366,0.20300751879699244,0.576510900561126,0.386373577077497
756,0.9860383944153576,0.3458646616541354,0.6987052709042406,0.6237950030438714
578,1.0,0.2857142857142857,0.7958789439793944,0.5269919807731097
