iso,Mortality
533,0.31029833786415073
004,0.054471160677462924
024,0.049087427898163664
008,0.3333591361488529
784,0.043257909451343765
032,0.29646125894707936
051,0.29727260417455553
028,0.2238215620655923
036,0.4430517062912646
040,0.5529353401433015
031,0.161213968264837
108,0.051463033202935105
056,0.5685635723438266
204,0.07194044038081034
854,0.050237455405345965
050,0.13339305851110042
100,0.5159411612607563
048,0.06809652112768742
044,0.17529629819813805
070,0.3858102805940995
112,0.40333132485062806
084,0.13149590111438453
068,0.19509476855974775
076,0.2309494991362667
052,0.4730407009964462
096,0.12238582631734428
064,0.15571107584527707
072,0.09195805056383159
140,0.05978583163792802
124,0.4839884194068183
756,0.5474547873148387
152,0.3184800849090875
156,0.2504523527262995
384,0.0581303467797435
120,0.05673818829498879
180,0.06450320866091358
178,0.058181438055140935
170,0.22163366404352144
174,0.06757480922938425
132,0.135578049082075
188,0.25647392275199843
192,0.4154168794873668
531,0.4355946261825213
196,0.354163781430084
203,0.4865398060643006
276,0.6398935826692623
262,0.1013184662017735
208,0.5108740253820379
214,0.19428346393416046
012,0.1604399587773727
218,0.1916972266115303
818,0.1157685578989337
232,0.09521715922491561
732,0.07304961044401485
724,0.6329621150638914
233,0.569364605563011
231,0.07743609482142044
246,0.5867320474700747
242,0.11483570180514745
250,0.6214519892751281
583,0.08267046243333244
266,0.07941664925263903
826,0.5269282522960371
268,0.3707781793807536
288,0.0660355319562607
324,0.05956046556150164
312,0.5443803868535776
270,0.05233592722396766
624,0.05695318743765995
226,0.052410642619149815
300,0.686692337827108
308,0.25027978964661346
320,0.12786424461745988
254,0.11791609673237674
316,0.24344962491407393
328,0.16222110312669666
344,0.513682975897362
340,0.12890576613407148
191,0.5592822488154006
332,0.11766260433758832
348,0.49112933488767824
360,0.1346056897240607
356,0.14096691606952957
372,0.3553133500515515
364,0.1501559150768617
368,0.0757787437571528
352,0.4183707854894894
376,0.33324339892658755
380,0.7022296952909667
388,0.2365194856248194
400,0.09110140167538187
392,0.8519115924517883
398,0.17716712175295196
404,0.052874613741816366
417,0.11425201161934712
116,0.10039099442442205
296,0.09001872321610775
410,0.38413124210839483
414,0.0705092925563283
418,0.09144960119707828
422,0.17916953624629287
430,0.06992779866382412
434,0.10861171593517505
662,0.2707688436163113
144,0.2381910322085241
426,0.11235515208206781
440,0.6180617770999094
442,0.41986796485472533
428,0.6099920581725878
446,0.27863828531456303
504,0.1617144515842748
498,0.2833230563075619
450,0.06883127441247469
462,0.1004656261535796
484,0.19565824363274434
807,0.3095639225748731
466,0.051612129185733935
470,0.5173819009210312
104,0.12860811631741906
499,0.3678674337726199
496,0.10178795293017476
508,0.060017762571172015
478,0.06998436947944152
474,0.624602103009663
480,0.274150969149464
454,0.055706877241562335
458,0.15526367566934476
175,0.10564789049907383
516,0.08517144112463941
540,0.20832418056557594
562,0.050983735851305154
566,0.05374744927319002
558,0.14238149694248048
528,0.5182666224759933
578,0.4691136192638625
524,0.12191998084919162
554,0.4246707537974628
512,0.06931872252256889
586,0.09773776097305555
591,0.22997462698165994
604,0.20819873577927006
608,0.11957122761382613
598,0.07210592734670075
616,0.48197469064555665
630,0.5516676935737457
408,0.21516832590091306
620,0.6481879824505303
600,0.1576727363886212
275,0.07004474184279108
258,0.20792014938199108
634,0.04638174042953019
638,0.3194249013702976
642,0.47995249816701213
643,0.3799731742410759
646,0.06823522927494051
682,0.0866770527558974
729,0.07977334692071986
686,0.06512545230189733
702,0.29311783144411546
090,0.0844623354597721
694,0.06320374284208775
222,0.21539490667926953
706,0.05963097884556183
688,0.4342526452800816
728,0.0732495954434745
678,0.07091042929950522
740,0.1720097718637065
703,0.3903283529521283
705,0.5615885534581513
752,0.5591581620325473
748,0.08695689175382991
690,0.21427663928136603
760,0.11277179590644058
148,0.053512801123128645
768,0.058313132217957656
764,0.31453123240723846
762,0.07501807140696895
795,0.11234456388606441
626,0.09074062170612296
776,0.14143713216647366
780,0.2544857641997779
788,0.21028432602784214
792,0.21095468479193485
158,0.404595258721115
834,0.05458229377747725
800,0.04262727246585788
804,0.4095548631878474
858,0.4621678001554714
840,0.43984650268870806
860,0.11405182741406868
670,0.2622501989293982
862,0.18656836918780687
850,0.4414237179548476
704,0.22563480476328387
548,0.0767010424100146
882,0.11174700775775905
887,0.06207243078834103
710,0.11504562086852739
894,0.04676988056794473
716,0.06704588831278363
